annotator ID,filename
1,PAT_311_666_191.png,
1,PAT_924_1757_704.png,
1,PAT_549_1043_36.png,
1,PAT_677_1349_851.png,
1,PAT_771_1489_345.png,
1,PAT_664_1263_781.png,
1,PAT_1641_2886_284.png,
1,PAT_1322_1137_201.png,
1,PAT_1404_1393_540.png,
1,PAT_253_384_607.png,
1,PAT_837_1582_714.png,
1,PAT_522_986_800.png,
1,PAT_53_1370_288.png,
1,PAT_938_1789_693.png,
1,PAT_854_1635_103.png,
1,PAT_1690_3082_117.png,
1,PAT_595_1142_142.png,
1,PAT_1993_4077_139.png,
1,PAT_835_1578_592.png,
1,PAT_492_1784_50.png,
1,PAT_492_4723_890.png,
1,PAT_528_992_124.png,
1,PAT_709_1331_253.png,
1,PAT_1392_1352_778.png,
2,PAT_1547_4232_115.png,
2,PAT_184_284_721.png,
2,PAT_640_1210_293.png,
2,PAT_1067_284_533.png,
2,PAT_354_1814_619.png,
2,PAT_1708_3153_799.png,
2,PAT_224_1340_142.png,
2,PAT_198_302_44.png,
2,PAT_407_810_390.png,
2,PAT_63_99_189.png,
2,PAT_138_205_296.png,
2,PAT_90_138_369.png,
2,PAT_1439_1522_211.png,
2,PAT_705_1326_82.png,
2,PAT_1805_3477_772.png,
2,PAT_715_4073_115.png,
2,PAT_1572_2495_335.png,
2,PAT_68_105_871.png,
2,PAT_1506_1735_733.png,
2,PAT_154_237_625.png,
2,PAT_1252_866_852.png,
2,PAT_1689_3075_38.png,
2,PAT_1415_1439_295.png,
2,PAT_63_99_736.png,
2,PAT_464_899_646.png,
3,PAT_330_695_90.png,
3,PAT_1707_3148_835.png,
3,PAT_181_832_158.png,
3,PAT_961_1818_992.png,
3,PAT_126_191_304.png,
3,PAT_683_1296_237.png,
3,PAT_108_424_944.png,
3,PAT_558_1072_486.png,
3,PAT_834_4490_317.png,
3,PAT_927_1759_749.png,
3,PAT_97_151_503.png,
3,PAT_876_1664_579.png,
3,PAT_690_1309_217.png,
3,PAT_122_185_957.png,
3,PAT_2011_4141_862.png,
3,PAT_463_897_440.png,
3,PAT_824_1561_796.png,
3,PAT_1586_2624_615.png,
3,PAT_859_1638_598.png,
3,PAT_535_1011_567.png,
3,PAT_793_1512_382.png,
3,PAT_153_233_45.png,
3,PAT_1736_3246_166.png,
3,PAT_338_709_306.png,
3,PAT_950_1804_64.png,
4,PAT_246_377_159.png,
4,PAT_796_1509_459.png,
4,PAT_1608_2720_196.png,
4,PAT_819_1541_727.png,
4,PAT_621_3591_171.png,
4,PAT_16_24_691.png,
4,PAT_834_1572_973.png,
4,PAT_72_110_647.png,
4,PAT_152_230_934.png,
4,PAT_356_4511_960.png,
4,PAT_1388_3513_146.png,
4,PAT_1406_1397_669.png,
4,PAT_75_114_73.png,
4,PAT_50_76_296.png,
4,PAT_600_1141_988.png,
4,PAT_624_1180_803.png,
4,PAT_691_1311_2.png,
4,PAT_1770_3344_274.png,
4,PAT_362_744_283.png,
4,PAT_198_853_778.png,
4,PAT_649_1233_229.png,
4,PAT_386_1554_362.png,
4,PAT_641_1211_321.png,
4,PAT_966_1826_587.png,
4,PAT_1521_1778_763.png,
5,PAT_1618_2771_628.png,
5,PAT_601_1147_943.png,
5,PAT_994_1866_913.png,
5,PAT_557_1058_309.png,
5,PAT_67_104_730.png,
5,PAT_403_804_994.png,
5,PAT_465_901_106.png,
5,PAT_526_3205_611.png,
5,PAT_1414_1431_754.png,
5,PAT_1130_501_181.png,
5,PAT_841_1603_667.png,
5,PAT_1022_115_132.png,
5,PAT_1020_111_593.png,
5,PAT_1709_3159_144.png,
5,PAT_1735_3242_27.png,
5,PAT_926_1758_714.png,
5,PAT_154_235_162.png,
5,PAT_831_1570_637.png,
5,PAT_1249_862_658.png,
5,PAT_759_1433_914.png,
5,PAT_1531_1800_683.png,
5,PAT_2144_4738_120.png,
5,PAT_1370_1274_515.png,
5,PAT_862_1643_386.png,
5,PAT_2103_4581_72.png,
5,PAT_1365_1253_912.png
5,PAT_340_714_314.png,
5,PAT_717_1347_899.png,
5,PAT_719_1361_234.png,
